Companies,URL,Description,Business Model,Industry,Sub-Industry,Expert Collections,Markets,Mosaic (Overall),Commercial Maturity,IPO Probability,M&A Probability,Country,Total Funding (M),All Investors,Latest Funding Amount (M),Latest Funding Round,Latest Funding Date,Total Headcount,12 Month Headcount Change %,Company Status,Founded Year,Your Collections,Team Tag
Credal AI,credal.ai,"Credal AI focuses on data security in the artificial intelligence industry. The company offers services that protect sensitive data across all AI applications, ensuring that business secrets or protected data are not compromised. Its main offerings include secure chat, security questionnaires, API gateway, and AI security guides. Credal AI primarily serves sectors that heavily rely on AI applications and data security. It was founded in 2022 and is based in Brooklyn, New York.","B2B, SaaS",Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity, Y Combinator Winter 2023, Defense Tech, Future Tech Hotshots",AI security (Enterprise Tech),695,3: Deploying,0.46%,25.18%,United States,5.30,"Drive Capital, Y Combinator, Pioneer Fund, Spark Capital",4.80,Seed VC - II,2023-10-26,8,60%,Alive / Active,2022,,
Lakera,lakera.ai,"Lakera is an advanced AI security platform operating in the cybersecurity industry. The company offers a suite of products designed to protect GenAI applications from a range of threats, including prompt injection attacks, data loss, and inappropriate content, without compromising on performance. Lakera's solutions cater to enterprises, foundation model providers, and startups seeking robust AI security measures. It was founded in 2021 and is based in San Francisco, California.",,Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity, Generative AI, Defense Tech",Machine learning security (MLSec) (Enterprise Tech),759,4: Scaling,0.46%,30.02%,United States,30.00,"Creative Destruction Lab, Fly Ventures, Inovia Capital, Redalpine Venture Partners, Atomico, Citi Ventures, Dropbox Ventures",20.00,Series A,2024-07-24,55,139.13043%,Alive / Active,2021,,
Harmonic Security,harmonic.security,"Harmonic Security focuses on providing zero-touch data protection solutions in the cybersecurity industry. Its services include safeguarding sensitive data, coaching users on safe AI usage, and tracking and assessing risks associated with Generative AI applications. Harmonic Security primarily caters to healthcare, insurance, and financial services sectors. It was founded in 2023 and is based in San Francisco, California.","B2B, SaaS",Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity, Defense Tech",AI security (Enterprise Tech),747,3: Deploying,0.45%,30.46%,United States,25.96,"Daniel Bernard, Eileen Burbidge, Greg Martin, Jerry Perullo, Luke Hakes, Nicholas Warner, Storm Ventures, Ten Eleven Ventures, In-Q-Tel, next47",17.50,Series A,2024-10-02,28,366.66666%,Alive / Active,2023,,
Enveil,enveil.com,"Enveil is a pioneering Privacy Enhancing Technology company focused on protecting Data in Use across various sectors. The company offers ZeroReveal solutions that enable secure data usage, collaboration, and monetization without compromising data privacy or security. Enveil's products are designed to allow organizations to extract insights and analyze data across boundaries and silos while maintaining the confidentiality and ownership of the underlying data. It was founded in 2016 and is based in Fulton, Maryland.","B2B, B2G, SaaS",Internet Software & Services,Monitoring & Security,"Regtech, Cybersecurity, Defense Tech","Data governance & privacy (Enterprise Tech), AI security (Enterprise Tech), Confidential computing (Enterprise Tech)",668,4: Scaling,1.25%,9.79%,United States,40.00,"DataTribe, USAA Ventures, Bloomberg Beta, In-Q-Tel, Thomson Reuters, 1843 Capital, C5 Capital, Capital One Ventures, Cyber Mentor Fund, Mastercard, Refinitiv, MasterCard Start Path, GC&H Investments, United Services Automobile Association, AWS European Defence Accelerator",,Incubator/Accelerator - II,2023-07-12,66,0%,Alive / Active,2016,,
Robust Intelligence,robustintelligence.com,"Robust Intelligence specializes in securing AI transformations within various business sectors by offering automated solutions to protect against security and safety threats. The company provides a platform that includes vulnerability detection and assessment for AI models, as well as the implementation of guardrails to mitigate threats to AI applications in production. Robust Intelligence was formerly known as Safe ML Incorporated. It was founded in 2019 and is based in San Francisco, California.  In August 2024, Robust Intelligence was acquired by Cisco.","B2B, B2G",Internet Software & Services,Monitoring & Security,"AI 100, Fintech, Artificial Intelligence, Cybersecurity, Generative AI","Model validation & monitoring (Enterprise Tech), AI security (Enterprise Tech)",,,,,United States,44.00,"Alex Balkanski, In-Q-Tel, Ram Shriram, Engineering Capital, Harpoon Ventures, Sequoia Capital, Tiger Global Management, Cisco",30.00,Series B,2021-12-09,83,23.880596%,Acquired,2019,,
Arthur,arthur.ai,"Arthur is a company focused on AI performance monitoring and management within the machine learning operations (MLOps) sector. The company offers solutions for deploying, monitoring, and optimizing machine learning models, ensuring scalability, security, and compliance for enterprise use. Arthur's products include tools for evaluating large language models (LLMs), providing a firewall for LLMs, and enhancing AI model observability. It was founded in 2018 and is based in New York, New York.","B2B, SaaS",Internet Software & Services,Science & Engineering,"AI 100, Artificial Intelligence, Cybersecurity, Generative AI, Defense Tech","Model validation & monitoring (Enterprise Tech), AI security (Enterprise Tech)",669,3: Deploying,1.35%,10.58%,United States,60.30,"Homebrew, Hunter Walk, Index Ventures, Jerry Yang, Work-Bench, FinTech Innovation Lab, AME Ventures, Acrew Capital, Plexo Capital, Ashley Mayer, BAM Elevate, Greycroft, Theresia Gouw",42.00,Series B,2022-09-27,52,-18.75%,Alive / Active,2018,,
Aim,aim.security,"Aim specializes in security for generative artificial intelligence (GenAI) technologies across various domains. The company offers a security platform that manages risks, enforces data protection policies, and ensures compliance with privacy and AI regulations for public and internal GenAI applications. Its solutions are designed to protect against data leakage, intellectual property infringement, and other security threats associated with GenAI usage. Aim was formerly known as Haka Security. It was founded in 2022 and is based in Tel Aviv, Israel.","B2B, SaaS",Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity, Generative AI",AI security (Enterprise Tech),716,3: Deploying,0.50%,10.32%,Israel,28.00,"Cyber Club London, YL Ventures, AWS & CrowdStrike Cybersecurity Accelerator, Canaan Partners",18.00,Series A,2024-06-17,37,0%,Alive / Active,2022,,
Apex,apexhq.ai,"Apex specializes in the development of advanced security tools within the artificial intelligence sector. Their products are designed to enhance the security of AI systems, allowing users to utilize AI technology safely and with confidence.  It was founded in 2023 and is based in Tel Aviv, Israel.",B2B,Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity",AI security (Enterprise Tech),677,3: Deploying,0.42%,3.02%,Israel,7.00,"Sam Altman, AWS & CrowdStrike Cybersecurity Accelerator, Clement Delangue, Index Ventures, Rene Bonvanie, Sequoia Capital",7.00,Seed VC,2024-05-02,37,0%,Alive / Active,2023,,
Mindgard,mindgard.ai,"Mindgard is a company specializing in AI security, focusing on the detection and mitigation of adversarial threats against AI models within various business sectors. The company offers an advanced Red Teaming platform that enables enterprises to continuously test and secure their AI and GenAI applications against a comprehensive set of security vulnerabilities. Mindgard's services are essential for businesses looking to adopt AI technologies while ensuring their digital assets, brand, and reputation are protected. It was founded in 2022 and is based in London, England.","B2B, B2G, SaaS",Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity, Defense Tech",AI security (Enterprise Tech),658,3: Deploying,0.46%,12.80%,United Kingdom,3.76,"Lancaster University, IQ Capital, Lakestar",3.76,Seed VC,2023-09-05,14,55.555557%,Alive / Active,2022,,
TrojAI,troj.ai,"TrojAI specializes in AI/ML/LLM risk management and security within the technology sector. The company offers solutions for assessing, measuring, and tracking risks and vulnerabilities in AI/ML/LLM models to their performance and manage risk exposure. TrojAI's services cater to various enterprise stakeholders, including cybersecurity teams, data scientists, and executives, to ensure responsible AI deployments. It was founded in 2019 and is based in Saint John, Canada.","B2B, Fee-for-service, SaaS",Internet Software & Services,Monitoring & Security,"AI 100, Artificial Intelligence, Cybersecurity, Generative AI, Defense Tech, AI 100 (2024)","Model validation & monitoring (Enterprise Tech), Algorithmic auditing & risk management (Enterprise Tech), AI security (Enterprise Tech)",640,3: Deploying,0.42%,4.71%,Canada,8.86,"Techstars Montreal AI Accelerator, Concrete Ventures, New Brunswick Innovation Foundation, Techstars Ventures, Build Ventures, Flying Fish Venture Partners, Creative Destruction Lab, Google for Startups Accelerator: Canada, Alteryx Ventures, Flybridge Capital Partners, Techstars",5.75,Seed VC - III,2024-04-03,29,52.63158%,Alive / Active,2019,,
Enkrypt AI,enkryptai.com,"Enkrypt AI specializes in artificial intelligence security, offering a platform for enterprises across various sectors. The company provides a suite of services that detect AI-related risks, remove vulnerabilities, and monitor AI system performance to ensure continuous security and compliance. Its solutions cater to industries such as finance, life sciences, technology, and insurance. The company was founded in 2022 and is based in Brighton, Massachusetts.","B2B, SaaS",Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity, Defense Tech",AI security (Enterprise Tech),497,2: Validating,0.51%,14.75%,United States,2.35,"Arka Venture Labs, Berkeley SkyDeck, Boldcap Ventures, Builders Fund, Kubera Venture Capital, Veredas Partners, AWS Generative AI Accelerator",,Incubator/Accelerator,2024-09-17,17,142.85715%,Alive / Active,2022,,
SydeLabs,sydelabs.ai,"SydeLabs focuses on AI security and risk management within the technology sector. The company offers automated red teaming solutions to identify vulnerabilities in AI systems, threat protection, and compliance gap assessments. SydeLabs primarily serves sectors that deploy AI technologies and require robust security measures. It was founded in 2023 and is based in Bengaluru, India. In July 2024, SydeLabs was acquired by Protect AI.","B2B, Fee-for-service, SaaS",Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity, Generative AI",AI security (Enterprise Tech),,,,,India,2.50,"Kunal Shah, Picus Capital, RTP Global, Sai Srinivas Kiran G, Protect AI",2.50,Seed VC,2024-03-28,9,0%,Acquired,2023,,
Cyble,cyble.com,"Cyble provides a cyber intelligence platform. It offers attack surface management, brand intelligence, cyber threat intelligence, dark web and deep web, vulnerability management. It allows companies to manage cyber-secure workflows with their vendors using an artificial intelligence (AI) security scoring mechanism. The company was founded in 2019 and is based in Alpharetta, Georgia.","B2B, SaaS",Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity, Y Combinator W21 Demo Day, Defense Tech","Vulnerability management (Enterprise Tech), Digital brand protection (Enterprise Tech), Threat intelligence platforms (Enterprise Tech), Threat deception platforms (Enterprise Tech), Attack surface management (Enterprise Tech)",847,4: Scaling,0.47%,11.71%,United States,44.35,"Kube VC, ICE71 Accelerate, Y Combinator, Blackbird Ventures (US), Cathexis Investment Management, Picus Capital, Spider Capital Partners, Xoogler.co, Cendana Capital, January Capital, VentureSouq, Blackbird Ventures, King River Capital, Summit Peak Investments, CareSuper",6.20,Series B - II,2023-11-14,241,45.18072%,Alive / Active,2019,,
Symmetry Systems,symmetry-systems.com,"Symmetry Systems is a data and artificial intelligence (AI) security company that specializes in protecting and managing data security postures across various industries. The company offers a platform that discovers, classifies, monitors, and protects data at scale, utilizing AI to detect and respond to data-related threats and ensure compliance. Symmetry Systems primarily serves sectors such as financial services, healthcare, communication, technology, retail and eCommerce, manufacturing, federal government, energy, and education. It was founded in 2019 and is based in San Mateo, California.","B2B, B2G, SaaS",Internet Software & Services,Monitoring & Security,"Cybersecurity, Defense Tech","Data security posture management (DSPM) (Enterprise Tech), Data access governance (Enterprise Tech), Data governance & privacy (Enterprise Tech)",612,3: Deploying,0.45%,12.78%,United States,35.70,"ForgePoint Capital, Prefix Capital, Accenture Ventures, The Syndicate Group, W11 Capital Management",17.70,Series A - II,2023-08-09,44,-6.382979%,Alive / Active,2019,,
Pensees,pensees-ai.com,"Pensees is an AI security service provider focusing on computer vision and IoT technology. The company has introduced a range of AI products and solutions in domains like public security, smart community, and enterprise security. The company was founded in 2018 and is based in Beijing, China.","B2B, B2G",Science & Engineering,,"Smart Cities, Artificial Intelligence",,272,3: Deploying,0.67%,29.67%,China,28.83,"Hongtai Capital Holdings, Aplus Labs, Elevation China Capital, IDG Capital, Shanggu Capital, Foxconn, Qihoo 360, Taifu Funds, Zhongguancun Qihang Investment, Auto Capital, SkyChee Ventures, Zhongrong Yingtong, Jiezheng Investment",,Series A - IV,2022-03-24,,0%,Alive / Active,2018,,
Aporia,aporia.com,"Aporia operates as a company focusing on machine learning (ML) observability within the technology sector. The company offers a platform that allows users to monitor and visualize the performance of their ML models, ensuring they are always operating at their best. Its service is primarily used by data science and ML teams across various sectors of the economy. It was founded in 2019 and is based in San Jose, California.","B2B, SaaS",Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity, Generative AI","Model validation & monitoring (Enterprise Tech), AI security (Enterprise Tech)",694,3: Deploying,0.46%,10.64%,United States,30.00,"Vertex Ventures, ICON, Gili Ra’anan, Michael Shaulov, Nadir Izrael, TLV Partners, Vertex Ventures Israel, Yevgeny Dibrov, Samsung NEXT, Tiger Global Management",25.00,Series A,2022-02-23,48,2.1276596%,Alive / Active,2019,,
Dropzone AI,dropzone.ai,"Dropzone AI specializes in security operations automation within the cybersecurity industry. The company offers pre-trained autonomous AI security agents that conduct thorough, end-to-end investigations of security alerts, mimicking the techniques of analysts. Dropzone AI's solutions are designed to integrate with existing security tools, providing detailed reports and enabling security analysts to focus on threats. It was founded in 2023 and is based in Seattle, Washington.","B2B, SaaS",Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity","Security operations center (SOC) AI agents & copilots (Enterprise Tech), Autonomous agents & digital coworkers (Enterprise Tech)",748,3: Deploying,0.45%,12.24%,United States,20.35,"Decibel Partners, Jesse Rothstein, Jon Oberheide, Oliver Friedrichs, Pioneer Square Labs Ventures, Anshu Gupta, Garrett Held, In-Q-Tel, Joshua Scott, Theory Ventures",16.85,Series A,2024-04-25,14,133.33333%,Alive / Active,2023,,
WhyLabs,whylabs.ai,"WhyLabs operates as a company focusing on artificial intelligence (AI) observability, operating in the technology and data analytics sectors. The company offers a platform that monitors the quality and performance of machine learning models and data pipelines, enabling users to detect data and ML issues faster, deliver continuous improvements, and avoid costly incidents. WhyLabs primarily serves sectors such as financial services, logistics and manufacturing, retail and e-commerce, and healthcare. It was founded in 2019 and is based in Seattle, Washington.","B2B, SaaS",Internet Software & Services,Data & Document Management,"AI 100, Artificial Intelligence, Cybersecurity, Generative AI 50, Generative AI, Defense Tech","Model validation & monitoring (Enterprise Tech), Data quality monitoring (Enterprise Tech), AI security (Enterprise Tech), LLM benchmarking & model routing (Enterprise Tech)",590,4: Scaling,0.51%,8.79%,United States,14.00,"Allen Institute for Artificial Intelligence, Ascend, Bezos Expeditions, Defy Partners, Madrona Venture Group, AI Fund",10.00,Series A,2021-11-04,63,18.867924%,Alive / Active,2019,,
PatternEx,patternex.com,"PatternEx is an Artificial Intelligence security company that has developed a platform to identify malicious user intent. The PatternEx solution enables users to predict and prevent cyber attacks in real time, anywhere across the enterprise.","B2B, B2G, SaaS",Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity",,,,0.74%,26.37%,United States,8.05,"Khosla Ventures, Paycheck Protection Program",0.25,Loan,2020-04-15,,0%,Alive / Active,,,
Darktrace,darktrace.com,"Darktrace specializes in cyber security, leveraging self-learning AI technology within the cyber security industry. The company offers a suite of solutions that provide threat detection, visibility, and automated response to cyber-attacks across various digital environments. It was founded in 2013 and is based in Cambridge, United Kingdom.","B2B, SaaS",Internet Software & Services,Monitoring & Security,"AI 100, Artificial Intelligence, Cybersecurity","Email security (Enterprise Tech), Intrusion detection & prevention systems (IDPS) (Enterprise Tech), Attack surface management (Enterprise Tech)",582,,,,United Kingdom,232.30,"2xN, Invoke Capital, Hoxton Ventures, Talis Capital, Summit Partners, KKR, Samsung Ventures, SoftBank, Ten Eleven Ventures, Insight Partners, Balderton Capital, Vitruvian Partners, Thoma Bravo",50.00,Series E,2018-09-27,2764,12.540716%,Alive / Active,2013,,
Anomali,anomali.com,"Anomali is a company specializing in AI-powered security operations and defense capabilities within the cybersecurity industry. The company offers a cloud-native big data solution that integrates threat detection, security analytics, and threat intelligence management to enhance security operations. Anomali provides access to a cybersecurity marketplace with a variety of threat intelligence feeds and analysis tools, catering to the needs of security system partners and technology integrations. Anomali was formerly known as Threat Stream Inc.. It was founded in 2013 and is based in Redwood City, California.","B2B, B2G, SaaS",Internet Software & Services,Monitoring & Security,"Regtech, Artificial Intelligence, Cybersecurity, Defense Tech","Security orchestration automation & response (SOAR) (Enterprise Tech), Threat intelligence platforms (Enterprise Tech)",565,4: Scaling,0.79%,11.56%,United States,96.00,"Google Ventures, Hugh Nijemanze, Paladin Capital Group, Tom Reilly, General Catalyst, Institutional Venture Partners, In-Q-Tel, DTCP, Lumia Capital, Sozo Ventures, Titanium Ventures",40.00,Series D,2018-01-10,318,18.215614%,Alive / Active,2013,,
Cube3.AI,cube3.ai,"Cube3.AI develops security software to protect the cyber attacked. It develops transaction security solutions and uses AI to inspect on-chain-deployed contracts for risks and exploits. The company was founded in 2022 and is based in Palo Alto, California.","B2B, SaaS",Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity",,658,3: Deploying,0.42%,3.20%,United States,29.93,"Yehuda Neuberger, Beacon, Blockchange Ventures, Dispersion Capital, Hypersphere Ventures, ICLUB, TA Ventures",14.27,Series A,2024-06-25,,0%,Alive / Active,2022,,
Traceable AI,traceable.ai,"Traceable AI specializes in API security solutions within the cybersecurity industry. The company offers a platform that provides API discovery, threat detection, attack protection, fraud and bot security, and API testing services. Traceable AI primarily serves sectors such as finance and banking, government and public sector, healthcare, high tech, and retail and eCommerce. It was founded in 2018 and is based in San Francisco, California.","B2B, SaaS",Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity",Web application & API protection (WAAP) (Enterprise Tech),851,4: Scaling,0.94%,4.83%,United States,110.25,"Zscaler, BIG Labs, Unusual Ventures, Silicon Valley CISO Investments, Institutional Venture Partners, Tiger Global Management, Citi Ventures, Geodesic Capital, Sorenson Capital",30.00,Series C,2024-05-01,230,29.213484%,Alive / Active,2018,,
Wraithwatch,wraithwatch.com,"Wraithwatch focuses on cybersecurity, operating within the technology and defense sectors. The company's main offerings include the development of defense systems against cyber weapons, with a proactive approach to understanding and countering novel and emerging cyber-attacks. Wraithwatch primarily serves the defense and technology industries. It was founded in 2023 and is based in Bozeman, Montana.","B2B, B2G, Fee-for-service",Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity, Generative AI, Defense Tech, AI 100 (2024)",AI security (Enterprise Tech),572,1: Emerging,0.47%,23.70%,United States,8.00,"Founders Fund, Human Capital, XYZ Ventures",8.00,Seed VC,2023-11-02,6,0%,Alive / Active,2023,,
Radiant Security,radiantsecurity.ai,"Radiant Security provides security and monitoring services. The company offers an artificial intelligence (AI) security operations center (SOC) co-pilot that automates the triage and investigation of security incidents, helps to enhance analyst productivity, and detects real attacks, and response times. It services the cybersecurity sector. The company was formerly known as BlastRadius. It was founded in 2021 and is based in Milpitas, California.","B2B, SaaS",Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity",Security operations center (SOC) AI agents & copilots (Enterprise Tech),668,4: Scaling,0.48%,12.23%,United States,15.00,"Jibe Ventures, Acrew Capital, General Advance, Lightspeed Venture Partners, Uncorrelated Ventures, next47",15.00,Series A,2023-11-14,56,69.69697%,Alive / Active,2021,,
AIS Security,,"AIS Security is a contracting and subcontracting company. The company provides installation and maintenance of security, electrical, and low-voltage systems. It is based in Atlanta, Georgia. In September 2024, AIS Security was acquired by PeachWiz.",,Security Services,Security Consulting & Advisory,,,,,,,United States,,PeachWiz,,,,,0%,Acquired,,,
